Date,Microsoft,Google,Amazon,Oracle,Meta,CoreWeave,Nebius,Applied Digital,IREN,Core Scientific,DigitalOcean,NVIDIA,AMD,Broadcom,Marvell,Qualcomm,Arm,Intel,Micron,SanDisk,Western Digital,Seagate,NetApp,TSMC,ASML,Applied Materials,Lam Research,KLA,Teradyne,ASM International,Tokyo Electron,Palantir,ServiceNow,Salesforce,Adobe,Snowflake,Datadog,MongoDB,Cloudflare,CrowdStrike,Palo Alto Networks,Zscaler,GitLab,Atlassian,NextEra Energy,Constellation Energy,Vistra,Southern Company,Duke Energy,American Electric Power,Dominion Energy,Vertiv,Eaton,GE Vernova,Quanta Services,Hubbell,Schneider Electric,Arista Networks,Cisco,Credo Technology,Astera Labs,Coherent,Lumentum,Ciena,Amphenol
2026-01-08,18162600,31896100,39509800,19468500,11921700,20472200,12952000,91307400,34060200,6006900,2925100,172457000,27505000,24385200,10695900,8353500,4701000,88242000,33897700,21404400,11902300,4826000,2978900,10850800,1682300,5500700,13928600,9485000,3141800,6200,349100,47304300,7426100,5243500,3107700,4348700,5476900,1578400,3871800,9822000,6451300,2006600,5115000,4094800,8696700,4114300,6866800,4076300,3214100,3230800,5570100,7684900,4582300,4310100,1376800,577911,444900,8944200,17192200,6231100,3936000,5985000,5137300,4574100,6971100
2026-01-09,18491000,26214200,34560000,26152700,11634900,26303200,11735300,86363400,41300400,8587700,1435000,131327500,24217300,22482500,13486300,9662200,5292900,186691400,33387500,19353200,9887700,3187100,1446700,12325100,2394500,9427600,16758600,11024000,2569900,3600,616900,31362900,11845400,5174400,3250100,4650000,7057700,1191000,2683500,9590000,5306500,1592800,4037300,3705400,5842200,5908000,14316000,3152100,2884800,2867700,4880700,5665300,2690000,3105800,1028600,422407,321000,8989700,19104100,7517300,4093700,5456500,5914400,2772100,5192100
2026-01-12,23519900,33923900,35867800,25428500,14797200,43610500,16033500,50577900,53225800,15387400,2574700,137968500,27287300,20949600,10146600,13657600,4443100,101989100,23152600,14603900,7465400,3066100,2027000,12714800,1488600,6612800,10749100,8556000,2448100,3700,126900,34954500,9900000,4927700,3541400,3345000,6778900,1087800,2436200,7755600,4281400,1380900,6403900,2515500,11088100,2485200,7189100,5749000,3007800,3437400,11453900,4181100,2166600,2828900,746600,340178,269300,8795900,20985700,4636500,4439100,5984600,5803900,2240000,10134300
2026-01-13,28545800,33517600,38371800,15857400,18030400,20414100,10405200,32424400,42181900,9179500,1900000,160128900,56894900,18308000,9133500,9993300,7749400,168656400,23881300,10818600,6485600,3459600,2274900,11473600,1374200,7146500,12737000,9966000,2313900,6200,507500,27769400,12898300,13661000,7217300,8054400,5210000,1521500,2196100,10773200,5419600,1505700,5668700,5131000,8543000,2754400,5430300,5362800,3284100,2735100,7851500,3648000,2524500,2090200,841800,462322,312100,8638900,17809900,4604700,4457100,4541300,3834500,1699200,8061500
2026-01-14,28184300,28525600,41410600,22473200,15527900,28378300,10468000,30396400,38744000,7820200,2609200,159586100,40466500,30094700,15295700,7959900,7570100,148225800,20277200,10862500,5611900,1947500,2171300,11210800,1536500,6545200,18187200,8965000,2423500,3700,134700,33651400,15646900,10149300,5712600,4780100,4841300,1627600,3014200,15019600,5658100,2184000,6753000,4012300,10282400,2448400,3888200,5134500,4554900,3143800,6151200,3780800,2148000,2396200,925600,658341,254800,7414600,17801300,4918400,3622800,2882800,3665000,1776700,9420500
2026-01-15,23225800,28442400,43003600,16418600,13076100,40670400,11190900,25988700,38235000,11669600,1215100,206188600,55270200,22218800,16593500,9241600,5775800,132328900,25370200,14146600,7536200,3180200,2260000,42188500,2858400,11262800,15249800,16576000,3459800,7800,237700,31109200,14582800,11489600,4774300,4919800,6196500,2262800,2675900,11340000,6530300,1570700,4908600,4631000,7419300,3054000,7116800,3832600,3716400,3085800,5335200,4104000,2127500,2394900,785400,386167,275500,8562300,18213000,5677000,3906800,7028800,3651700,1747700,10078900
2026-01-16,34246700,40341600,45888300,19224700,17012500,34781400,15674400,31828000,53965900,12890100,1224700,187967200,42545600,31291200,15011200,11990800,5291100,127314700,47901900,15703000,8972800,3378500,2815200,18246100,2469100,11399300,14392700,15317000,2298000,10300,131500,59483600,20052400,13902600,8534400,5250800,5871300,1988000,2289600,13751600,7053100,1875100,4696800,8298900,12874900,9206900,13330600,5201600,4499800,4044500,6710200,4502300,3768500,4986800,2216800,745964,552800,5987000,25743300,4370800,5422800,3592300,3780700,2056200,9602100
2026-01-20,26130000,35361000,47737900,29129500,15169600,26822500,16768600,35188300,45490100,9233800,2596400,223345300,44327700,32293900,18688000,11971400,7318200,150153000,49744900,17872400,7125400,3620800,5233500,22809900,2970800,9387300,11601700,17340000,2627800,55400,195200,36708500,19712200,13050800,6962000,3766900,4929200,1534600,3613400,12926000,7287900,1697700,5327300,6710500,10054800,6079600,7599100,6844500,4595000,4776400,6392900,4690500,2869500,3901900,909800,580095,543800,6371300,23999700,6083800,5298300,4305500,5318000,2737900,10669200
2026-01-21,37980500,35386600,47276100,38190000,14494700,29676600,15470500,42153500,62001200,8119500,1486200,200381000,62385600,32006600,17134300,9181900,13666000,220565300,56712800,21365000,9447100,4710600,3325600,16789800,2387200,7914000,12454800,14999000,3005500,95100,119700,47851200,16119600,12616600,5645300,2883700,9731800,1093100,5105900,10747200,6301000,1679800,3709900,6242400,8296600,5711800,6651300,8555900,4751700,3632500,6995200,5587300,3426200,4022700,1235300,639163,525700,5931000,18210200,9437800,6687300,5978400,4969400,2884900,8664700
2026-01-22,25349400,26253600,31913300,21141900,21394700,19946400,10237100,29082800,32969600,9474500,3347100,139636600,37945000,24275400,12997600,7450300,14162100,190066400,39607600,20607500,8926900,2796300,2317200,12801000,1844200,6036100,11958600,10260000,2807300,56300,141100,28499500,12944200,9483000,4974500,3539100,9645800,1088700,4278200,6058800,7018000,1236700,10259000,4959200,9802300,4771600,4176200,8025700,3807200,2880500,4707300,5508700,2549000,2858800,978800,333969,328200,14906700,12879800,7268000,4011400,4101300,4465600,2095000,7799600
